# ecmaster golden structure v1 (tools/golden/pcap2struct.py)
# requests=2870 with_reply=2870 process_data_frames=2257
[CONFIG]
BWR *:0103/1 w8
BWR *:0120/2 w8
BRD *:0000/2 w8
BWR *:0101/1 w8
BWR *:0200/2 w8
BWR *:0300/8 w8
BWR *:0600/48 w8
BWR *:0800/32 w8
BWR *:0981/1 w8
BWR *:0910/4 w8
BWR *:0930/2 w8
BWR *:0934/2 w8
BWR *:0103/1 w8
BWR *:0120/2 w8
BWR *:0500/1 w8
APRD pos0:0140/2 w1
APWR pos0:0010/2 w1
APWR pos0:0100/2 w1
APRD pos0:0010/2 w1
FPRD 1001:0012/2 w1
FPRD 1001:0502/2 w1
FPWR 1001:0502/6 w1
APRD pos1:0140/2 w1
APWR pos1:0010/2 w1
APWR pos1:0100/2 w1
APRD pos1:0010/2 w1
FPRD 1002:0012/2 w1
FPRD 1002:0502/2 w1
FPWR 1002:0502/6 w1
APRD pos2:0140/2 w1
APWR pos2:0010/2 w1
APWR pos2:0100/2 w1
APRD pos2:0010/2 w1
FPRD 1003:0012/2 w1
FPRD 1003:0502/2 w1
FPWR 1003:0502/6 w1
APRD pos3:0140/2 w1
APWR pos3:0010/2 w1
APWR pos3:0100/2 w1
APRD pos3:0010/2 w1
FPRD 1004:0012/2 w1
FPRD 1004:0502/2 w1
FPWR 1004:0502/6 w1
APRD pos4:0140/2 w1
APWR pos4:0010/2 w1
APWR pos4:0100/2 w1
APRD pos4:0010/2 w1
FPRD 1005:0012/2 w1
FPRD 1005:0502/2 w1
FPWR 1005:0502/6 w1
APRD pos5:0140/2 w1
APWR pos5:0010/2 w1
APWR pos5:0100/2 w1
APRD pos5:0010/2 w1
FPRD 1006:0012/2 w1
FPRD 1006:0502/2 w1
FPWR 1006:0502/6 w1
APRD pos6:0140/2 w1
APWR pos6:0010/2 w1
APWR pos6:0100/2 w1
APRD pos6:0010/2 w1
FPRD 1007:0012/2 w1
FPRD 1007:0502/2 w1
FPWR 1007:0502/6 w1
APRD pos7:0140/2 w1
APWR pos7:0010/2 w1
APWR pos7:0100/2 w1
APRD pos7:0010/2 w1
FPRD 1008:0012/2 w1
FPRD 1008:0502/2 w1
FPWR 1008:0502/6 w1
FPRD 1001:0502/2 w1
FPRD 1001:0508/4 w1
FPRD 1001:0502/2 w1
FPWR 1001:0502/6 w1
FPRD 1002:0502/2 w1
FPRD 1002:0508/4 w1
FPRD 1002:0502/2 w1
FPWR 1002:0502/6 w1
FPRD 1003:0502/2 w1
FPRD 1003:0508/4 w1
FPRD 1003:0502/2 w1
FPWR 1003:0502/6 w1
FPRD 1004:0502/2 w1
FPRD 1004:0508/4 w1
FPRD 1004:0502/2 w1
FPWR 1004:0502/6 w1
FPRD 1005:0502/2 w1
FPRD 1005:0508/4 w1
FPRD 1005:0502/2 w1
FPWR 1005:0502/6 w1
FPRD 1006:0502/2 w1
FPRD 1006:0508/4 w1
FPRD 1006:0502/2 w1
FPWR 1006:0502/6 w1
FPRD 1007:0502/2 w1
FPRD 1007:0508/4 w1
FPRD 1007:0502/2 w1
FPWR 1007:0502/6 w1
FPRD 1008:0502/2 w1
FPRD 1008:0508/4 w1
FPRD 1008:0502/2 w1
FPWR 1008:0502/6 w1
FPRD 1001:0502/2 w1
FPRD 1001:0508/4 w1
FPRD 1001:0502/2 w1
FPWR 1001:0502/6 w1
FPRD 1002:0502/2 w1
FPRD 1002:0508/4 w1
FPRD 1002:0502/2 w1
FPWR 1002:0502/6 w1
FPRD 1003:0502/2 w1
FPRD 1003:0508/4 w1
FPRD 1003:0502/2 w1
FPWR 1003:0502/6 w1
FPRD 1004:0502/2 w1
FPRD 1004:0508/4 w1
FPRD 1004:0502/2 w1
FPWR 1004:0502/6 w1
FPRD 1005:0502/2 w1
FPRD 1005:0508/4 w1
FPRD 1005:0502/2 w1
