    1 0.000000000 01:01:01:01:01:01 → Broadcast    ECAT 29 'BWR': Len: 1, Adp 0x0, Ado 0x103, Wc 0 
    2 0.000064258 01:01:01:01:01:01 → Broadcast    ECAT 29 'BWR': Len: 1, Adp 0x0, Ado 0x103, Wc 1 
    3 0.000092162 01:01:01:01:01:01 → Broadcast    ECAT 30 'BWR': Len: 2, Adp 0x0, Ado 0x120, Wc 0 
    4 0.000108707 01:01:01:01:01:01 → Broadcast    ECAT 30 'BWR': Len: 2, Adp 0x0, Ado 0x120, Wc 1 
    5 0.000122531 01:01:01:01:01:01 → Broadcast    ECAT 30 'BWR': Len: 2, Adp 0x0, Ado 0x120, Wc 0 
    6 0.000133412 01:01:01:01:01:01 → Broadcast    ECAT 30 'BWR': Len: 2, Adp 0x0, Ado 0x120, Wc 1 
    7 0.000150788 01:01:01:01:01:01 → Broadcast    ECAT 30 'BRD': Len: 2, Adp 0x0, Ado 0x0, Wc 0 
    8 0.000160708 01:01:01:01:01:01 → Broadcast    ECAT 30 'BRD': Len: 2, Adp 0x0, Ado 0x0, Wc 1 
    9 0.000171525 01:01:01:01:01:01 → Broadcast    ECAT 29 'BWR': Len: 1, Adp 0x0, Ado 0x101, Wc 0 
   10 0.000180293 01:01:01:01:01:01 → Broadcast    ECAT 29 'BWR': Len: 1, Adp 0x0, Ado 0x101, Wc 1 
   11 0.000190213 01:01:01:01:01:01 → Broadcast    ECAT 30 'BWR': Len: 2, Adp 0x0, Ado 0x200, Wc 0 
   12 0.000198053 01:01:01:01:01:01 → Broadcast    ECAT 30 'BWR': Len: 2, Adp 0x0, Ado 0x200, Wc 1 
   13 0.000210598 01:01:01:01:01:01 → Broadcast    ECAT 36 'BWR': Len: 8, Adp 0x0, Ado 0x300, Wc 0 
   14 0.000392619 01:01:01:01:01:01 → Broadcast    ECAT 36 'BWR': Len: 8, Adp 0x0, Ado 0x300, Wc 1 
   15 0.001158208 01:01:01:01:01:01 → Broadcast    ECAT 76 'BWR': Len: 48, Adp 0x0, Ado 0x600, Wc 0 
   16 0.001196961 01:01:01:01:01:01 → Broadcast    ECAT 76 'BWR': Len: 48, Adp 0x0, Ado 0x600, Wc 1 
   17 0.001234978 01:01:01:01:01:01 → Broadcast    ECAT 60 'BWR': Len: 32, Adp 0x0, Ado 0x800, Wc 0 
   18 0.001250307 01:01:01:01:01:01 → Broadcast    ECAT 60 'BWR': Len: 32, Adp 0x0, Ado 0x800, Wc 1 
   19 0.001264451 01:01:01:01:01:01 → Broadcast    ECAT 29 'BWR': Len: 1, Adp 0x0, Ado 0x981, Wc 0 
   20 0.001273763 01:01:01:01:01:01 → Broadcast    ECAT 29 'BWR': Len: 1, Adp 0x0, Ado 0x981, Wc 1 
